iter,noise,n_samples,model,r2
1,1.0,3510,LR,0.8047993535396019
1,1.0,4010,CPF,0.79585787667949
1,1.0,4010,RF,0.5934242028424137
1,1.0,4010,LR,0.8049322530395833
1,1.0,4510,CPF,0.7961591105493457
1,1.0,4510,RF,0.5969347585180165
1,1.0,4510,LR,0.8052504950041552
1,1.0,5010,CPF,0.7976179894912423
1,1.0,5010,RF,0.605075856338186
1,1.0,5010,LR,0.8053179882968675
1,1.0,5510,CPF,0.797773977009624
1,1.0,5510,RF,0.6024817939263858
1,1.0,5510,LR,0.8057724642598799
1,1.0,6010,CPF,0.7980478632062418
1,1.0,6010,RF,0.6093523106571441
1,1.0,6010,LR,0.8059500337366996
1,1.0,6510,CPF,0.7982244440361952
1,1.0,6510,RF,0.6125094570367715
1,1.0,6510,LR,0.8061807968507
1,1.0,7010,CPF,0.7987635313402294
1,1.0,7010,RF,0.6103351710248711
1,1.0,7010,LR,0.8062733156825193
1,1.0,7510,CPF,0.797999529312958
1,1.0,7510,RF,0.6117794427397198
1,1.0,7510,LR,0.8061073506749786
1,1.0,8010,CPF,0.7993707263033167
1,1.0,8010,RF,0.6096472175205994
1,1.0,8010,LR,0.806104403382047
1,10.0,10,CPF,-0.0920235054341978
1,10.0,10,RF,-0.07242318697130079
1,10.0,10,LR,-0.17589615176444107
1,10.0,510,CPF,-0.011693619451589088
1,10.0,510,RF,-0.008238679794412507
1,10.0,510,LR,-0.007236061355942791
1,10.0,1010,CPF,-0.0040644995061946965
1,10.0,1010,RF,0.0035835494363606335
1,10.0,1010,LR,0.017054834335323066
1,10.0,1510,CPF,0.003938373145901397
1,10.0,1510,RF,-0.0069184719772559244
1,10.0,1510,LR,0.022955924360173907
1,10.0,2010,CPF,0.014083650074794063
1,10.0,2010,RF,0.0030061648799681873
1,10.0,2010,LR,0.02420434652242931
1,10.0,2510,CPF,0.019489189858495237
1,10.0,2510,RF,0.00656891415038785
1,10.0,2510,LR,0.02948447544428423
1,10.0,3010,CPF,0.013629856873371593
1,10.0,3010,RF,0.00713101433245289
1,10.0,3010,LR,0.029692511783420694
1,10.0,3510,CPF,0.01458622897800188
1,10.0,3510,RF,0.009265390328414003
