id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
10,Automobile,159,25,46,0,1,CPF 61,0.8589659626537699,0.03752732276916504,0.00027179718017578125,5.0,2.0,2.0,20.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 62,0.7857678286425425,0.041114091873168945,0.0002803802490234375,5.0,2.0,2.0,20.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 63,0.780131577061606,0.04422497749328613,0.0002961158752441406,5.0,2.0,2.0,20.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 64,0.7798849282960543,0.02933025360107422,0.0001773834228515625,5.0,2.0,2.0,20.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 65,0.7421696513254556,0.007426023483276367,0.0001366138458251953,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 66,0.7391968450370893,0.006568193435668945,0.00011372566223144531,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 67,0.770525622747483,0.006778717041015625,0.00012540817260742188,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 68,0.7249996240898919,0.0068531036376953125,0.00011587142944335938,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 69,0.6829239651200536,0.00578761100769043,9.226799011230469e-05,5.0,2.0,2.0,20.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 70,0.7021554997624184,0.02531576156616211,0.00018072128295898438,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 71,0.683425891737496,0.023337364196777344,0.0001780986785888672,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 72,0.7836623927377266,0.022826194763183594,0.0001773834228515625,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 73,0.7289004678575233,0.02265477180480957,0.00020360946655273438,5.0,2.0,2.0,20.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 74,0.8132314581371272,0.019994020462036133,0.00015163421630859375,5.0,2.0,2.0,20.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 75,0.7708892353545597,0.03720712661743164,0.00021958351135253906,5.0,2.0,2.0,50.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 76,0.800609793909866,0.038341522216796875,0.0002810955047607422,5.0,2.0,2.0,50.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 77,0.7537698014902644,0.0359959602355957,0.0002288818359375,5.0,2.0,2.0,50.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 78,0.8051594117180672,0.037473201751708984,0.0001964569091796875,5.0,2.0,2.0,50.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 79,0.8255307950640056,0.03100109100341797,0.0001347064971923828,5.0,2.0,2.0,50.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 80,0.7599760030825595,0.00635075569152832,0.00011038780212402344,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 81,0.7578539167248206,0.008395671844482422,0.0001494884490966797,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 82,0.8059900374594873,0.007460355758666992,0.00013208389282226562,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 83,0.6956291689312863,0.006985664367675781,0.00013256072998046875,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 84,0.6073772144021913,0.005778074264526367,0.00012993812561035156,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 85,0.7971115763524499,0.02296161651611328,0.0003228187561035156,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 86,0.7641755374432169,0.026220083236694336,0.000209808349609375,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 87,0.7889495752166081,0.024142980575561523,0.00021600723266601562,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 88,0.8157656696766735,0.025429964065551758,0.0003764629364013672,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 89,0.7835824133898108,0.02121877670288086,0.00016188621520996094,5.0,2.0,2.0,50.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 90,0.7017984096797298,0.09323406219482422,0.0004711151123046875,10.0,2.0,2.0,10.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 91,0.7739937973172821,0.08252120018005371,0.00037598609924316406,10.0,2.0,2.0,10.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 92,0.8023371384889132,0.07741451263427734,0.00037169456481933594,10.0,2.0,2.0,10.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 93,0.8114444841749151,0.057805538177490234,0.0006487369537353516,10.0,2.0,2.0,10.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 94,0.7922137140635251,0.027670860290527344,0.00015807151794433594,10.0,2.0,2.0,10.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 95,0.7557904641344443,0.007005214691162109,0.00014901161193847656,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 96,0.7153661014376641,0.007863998413085938,0.0001614093780517578,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 97,0.6914433685649348,0.007685184478759766,0.00015664100646972656,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 98,0.6570941942192361,0.006279945373535156,0.0001697540283203125,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 99,0.5965780890298749,0.005641460418701172,0.0001049041748046875,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 100,0.783167782402895,0.038649559020996094,0.00029754638671875,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 101,0.6746031182200264,0.04117536544799805,0.00026607513427734375,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 102,0.7313764158426449,0.04294610023498535,0.00028896331787109375,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 103,0.7732937503463674,0.029387712478637695,0.00022172927856445312,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 104,0.781166211074787,0.0177462100982666,0.00018525123596191406,10.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 105,0.7606096255072475,0.07107949256896973,0.0007774829864501953,10.0,2.0,2.0,20.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 106,0.7700360163668304,0.0703270435333252,0.00031375885009765625,10.0,2.0,2.0,20.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 107,0.7595713458836427,0.0567629337310791,0.00028705596923828125,10.0,2.0,2.0,20.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 108,0.7952873585713796,0.05432415008544922,0.000270843505859375,10.0,2.0,2.0,20.0,100.0,1,1.0,0.1
