id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,df_settings
87,Servo,167,4,0,0,1,CPF 58,0.5566084254312509,0.0012078285217285156,0.00013780593872070312,5.0,2.0,2.0,10.0,100.0,1,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 59,0.6003012095701605,0.0012574195861816406,8.916854858398438e-05,5.0,2.0,2.0,10.0,100.0,1,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 60,0.4443677029471875,0.0009112358093261719,6.437301635742188e-05,5.0,2.0,2.0,10.0,100.0,sqrt,1,incl_blin
87,Servo,167,4,0,0,1,CPF 61,0.6836076066487855,0.0010616779327392578,6.508827209472656e-05,5.0,2.0,2.0,10.0,100.0,sqrt,1,excl_blin
87,Servo,167,4,0,0,1,CPF 62,0.46635805930004104,0.0009410381317138672,7.271766662597656e-05,5.0,2.0,2.0,10.0,100.0,sqrt,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 63,0.23780173227070955,0.001909494400024414,0.0001895427703857422,5.0,2.0,2.0,10.0,100.0,sqrt,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 64,0.6589299491397671,0.0017833709716796875,0.00017952919006347656,5.0,2.0,2.0,10.0,100.0,sqrt,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 65,0.4117805921078518,0.001695394515991211,0.0001087188720703125,5.0,2.0,2.0,10.0,100.0,sqrt,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 66,0.506407206421484,0.0013897418975830078,9.870529174804688e-05,5.0,2.0,2.0,10.0,100.0,0.7,1,incl_blin
87,Servo,167,4,0,0,1,CPF 67,0.6662087638875798,0.0010685920715332031,0.00011134147644042969,5.0,2.0,2.0,10.0,100.0,0.7,1,excl_blin
87,Servo,167,4,0,0,1,CPF 68,0.5671025598650161,0.0008435249328613281,8.225440979003906e-05,5.0,2.0,2.0,10.0,100.0,0.7,sqrt,incl_blin
