id,name,n_samples,n_features,fold,model,n_trees,r2
9,Auto MPG,392,7,5,CPF,10,0.8691382419173986
9,Auto MPG,392,7,5,RF,10,0.8648407980587304
9,Auto MPG,392,7,5,CPF,11,0.8913308468890402
9,Auto MPG,392,7,5,RF,11,0.869313461612022
9,Auto MPG,392,7,5,CPF,12,0.8874747522005264
9,Auto MPG,392,7,5,RF,12,0.8870023388751501
9,Auto MPG,392,7,5,CPF,13,0.8971140183101423
9,Auto MPG,392,7,5,RF,13,0.8774927349503772
9,Auto MPG,392,7,5,CPF,14,0.8873711822646818
9,Auto MPG,392,7,5,RF,14,0.8607744222744698
9,Auto MPG,392,7,5,CPF,15,0.8836148801868642
9,Auto MPG,392,7,5,RF,15,0.8735822622933389
9,Auto MPG,392,7,5,CPF,16,0.8647932503869193
9,Auto MPG,392,7,5,RF,16,0.8711766860326305
9,Auto MPG,392,7,5,CPF,17,0.8824616110919347
9,Auto MPG,392,7,5,RF,17,0.8951668059868788
9,Auto MPG,392,7,5,CPF,18,0.8907859698754368
9,Auto MPG,392,7,5,RF,18,0.8781934868483682
9,Auto MPG,392,7,5,CPF,19,0.8697604954173778
9,Auto MPG,392,7,5,RF,19,0.8664834529463166
10,Automobile,159,25,1,CPF,1,0.649062466152523
10,Automobile,159,25,1,RF,1,0.6167664670658682
10,Automobile,159,25,1,CPF,2,0.646244743607691
10,Automobile,159,25,1,RF,2,0.6593479707252162
10,Automobile,159,25,1,CPF,3,0.661248632334489
10,Automobile,159,25,1,RF,3,0.6924669180158202
10,Automobile,159,25,1,CPF,4,0.7391708747044271
10,Automobile,159,25,1,RF,4,0.7112441783100465
10,Automobile,159,25,1,CPF,5,0.8053368435845369
10,Automobile,159,25,1,RF,5,0.7164071856287425
10,Automobile,159,25,1,CPF,6,0.817509372359437
10,Automobile,159,25,1,RF,6,0.8042433651216087
10,Automobile,159,25,1,CPF,7,0.6664347861605897
10,Automobile,159,25,1,RF,7,0.6658655478159328
10,Automobile,159,25,1,CPF,8,0.8359784058030868
10,Automobile,159,25,1,RF,8,0.7358616101131071
10,Automobile,159,25,1,CPF,9,0.8230688981646725
10,Automobile,159,25,1,RF,9,0.7442481292558916
10,Automobile,159,25,1,CPF,10,0.7862250685821859
10,Automobile,159,25,1,RF,10,0.7706986027944112
10,Automobile,159,25,1,CPF,11,0.8087305434911266
10,Automobile,159,25,1,RF,11,0.7503175467247324
10,Automobile,159,25,1,CPF,12,0.755760087499117
10,Automobile,159,25,1,RF,12,0.7360833887779996
10,Automobile,159,25,1,CPF,13,0.8170872128819244
10,Automobile,159,25,1,RF,13,0.7762581346183373
10,Automobile,159,25,1,CPF,14,0.7863242868203519
10,Automobile,159,25,1,RF,14,0.7351691175472185
10,Automobile,159,25,1,CPF,15,0.8157490574754189
10,Automobile,159,25,1,RF,15,0.6949271826716936
10,Automobile,159,25,1,CPF,16,0.7658607807393818
10,Automobile,159,25,1,RF,16,0.6991849634065204
10,Automobile,159,25,1,CPF,17,0.7889292883745496
10,Automobile,159,25,1,RF,17,0.7616761862664522
10,Automobile,159,25,1,CPF,18,0.7750207888364203
10,Automobile,159,25,1,RF,18,0.7094206648431531
10,Automobile,159,25,1,CPF,19,0.7865713953803783
10,Automobile,159,25,1,RF,19,0.7846154413241846
10,Automobile,159,25,2,CPF,1,0.02513678442236389
10,Automobile,159,25,2,RF,1,0.35709656513285803
10,Automobile,159,25,2,CPF,2,0.057249909190651094
10,Automobile,159,25,2,RF,2,0.3467271548930655
10,Automobile,159,25,2,CPF,3,0.2606494146443735
10,Automobile,159,25,2,RF,3,0.610571037661122
10,Automobile,159,25,2,CPF,4,0.15608005384435708
10,Automobile,159,25,2,RF,4,0.5152300712896953
10,Automobile,159,25,2,CPF,5,0.17251601537961547
10,Automobile,159,25,2,RF,5,0.7519637070641607
10,Automobile,159,25,2,CPF,6,0.48417583301464784
10,Automobile,159,25,2,RF,6,0.559300064808814
10,Automobile,159,25,2,CPF,7,0.5327151278814275
10,Automobile,159,25,2,RF,7,0.6110413056992078
10,Automobile,159,25,2,CPF,8,0.2311038551669663
10,Automobile,159,25,2,RF,8,0.7067401166558652
10,Automobile,159,25,2,CPF,9,0.5762819145554194
10,Automobile,159,25,2,RF,9,0.6269572661882016
10,Automobile,159,25,2,CPF,10,0.502382130107385
10,Automobile,159,25,2,RF,10,0.5825275437459494
10,Automobile,159,25,2,CPF,11,0.5164989021932518
10,Automobile,159,25,2,RF,11,0.6398986625817474
10,Automobile,159,25,2,CPF,12,0.46155433321172146
10,Automobile,159,25,2,RF,12,0.5499387916756677
10,Automobile,159,25,2,CPF,13,0.2122818361291544
10,Automobile,159,25,2,RF,13,0.600931099410585
10,Automobile,159,25,2,CPF,14,0.1962479054059606
10,Automobile,159,25,2,RF,14,0.5404658298834764
10,Automobile,159,25,2,CPF,15,0.4829025807252456
10,Automobile,159,25,2,RF,15,0.6045798228559084
10,Automobile,159,25,2,CPF,16,0.48563849822751415
10,Automobile,159,25,2,RF,16,0.5647278029812055
10,Automobile,159,25,2,CPF,17,0.3496906841753673
10,Automobile,159,25,2,RF,17,0.4554803813180184
10,Automobile,159,25,2,CPF,18,0.3579828829141176
10,Automobile,159,25,2,RF,18,0.6399510333405344
10,Automobile,159,25,2,CPF,19,0.4445893933612297
10,Automobile,159,25,2,RF,19,0.5529376704373068
10,Automobile,159,25,3,CPF,1,0.7907954884830994
10,Automobile,159,25,3,RF,1,0.8151815181518152
10,Automobile,159,25,3,CPF,2,0.6272137382931934
10,Automobile,159,25,3,RF,2,0.735973597359736
10,Automobile,159,25,3,CPF,3,0.8365246859650761
10,Automobile,159,25,3,RF,3,0.8474514118078474
10,Automobile,159,25,3,CPF,4,0.7071688348166303
10,Automobile,159,25,3,RF,4,0.8514851485148515
10,Automobile,159,25,3,CPF,5,0.7838449112417056
10,Automobile,159,25,3,RF,5,0.9281848184818482
10,Automobile,159,25,3,CPF,6,0.8135656305464873
10,Automobile,159,25,3,RF,6,0.8393839383938394
10,Automobile,159,25,3,CPF,7,0.7696429900283168
10,Automobile,159,25,3,RF,7,0.901933050447902
10,Automobile,159,25,3,CPF,8,0.7999058876988085
10,Automobile,159,25,3,RF,8,0.8803630363036303
10,Automobile,159,25,3,CPF,9,0.8159030970175599
10,Automobile,159,25,3,RF,9,0.8699425498105366
10,Automobile,159,25,3,CPF,10,0.7947899568043735
