id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
87,Servo,167,4,0,0,1,CPF 84,0.5232386273174591,0.0009629726409912,7.486343383789062e-05,5.0,2.0,2.0,50.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 85,0.7733939157291935,0.0019569396972656,0.0001072883605957,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 86,0.8266362266550025,0.0019905567169189,0.0001320838928222,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 87,0.6877334238626092,0.0019826889038085,0.0001251697540283,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 88,0.8797493628355361,0.0021402835845947,0.0001120567321777,5.0,2.0,2.0,50.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 89,0.7716354585437066,0.0011317729949951,6.961822509765625e-05,5.0,2.0,2.0,50.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 90,0.6942313054446851,0.0022633075714111,0.0001049041748046,10.0,2.0,2.0,10.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 91,0.9185895338870296,0.0023055076599121,0.0001020431518554,10.0,2.0,2.0,10.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 92,0.8945063397101413,0.0022432804107666,8.988380432128906e-05,10.0,2.0,2.0,10.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 93,0.905262286662032,0.0023591518402099,0.000241994857788,10.0,2.0,2.0,10.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 94,0.84568743984209,0.0018410682678222,9.27448272705078e-05,10.0,2.0,2.0,10.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 95,0.8017414801276459,0.001582384109497,8.440017700195312e-05,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 96,0.8376170875798239,0.001516580581665,9.632110595703124e-05,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 97,0.8001774870877547,0.0015609264373779,8.320808410644531e-05,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 98,0.7547319129340251,0.001584768295288,8.7738037109375e-05,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 99,0.7798607480151472,0.0014998912811279,0.0001430511474609,10.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 100,0.787780615603535,0.0023167133331298,0.0003807544708251,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 101,0.8362956927261944,0.0016872882843017,9.632110595703124e-05,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 102,0.7057589539443414,0.0018444061279296,0.00010347366333,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 103,0.7277989814251484,0.0015385150909423,8.916854858398438e-05,10.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 104,0.6621515631057793,0.0010643005371093,6.580352783203125e-05,10.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 105,0.8251326960062577,0.0022318363189697,8.511543273925781e-05,10.0,2.0,2.0,20.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 106,0.8650289377244086,0.0032641887664794,0.0001463890075683,10.0,2.0,2.0,20.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 107,0.8711440592978402,0.0023481845855712,0.0001041889190673,10.0,2.0,2.0,20.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 108,0.9058843949284506,0.0022051334381103,8.392333984375e-05,10.0,2.0,2.0,20.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 109,0.8534856276321159,0.0016944408416748,8.296966552734375e-05,10.0,2.0,2.0,20.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 110,0.7404671942973735,0.001511812210083,7.82012939453125e-05,10.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 111,0.874209242860317,0.0015649795532226,8.106231689453125e-05,10.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 112,0.7969677338937491,0.0019776821136474,0.0001420974731445,10.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 113,0.7689851353760527,0.0020146369934082,0.0002241134643554,10.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 114,0.6527774089085404,0.001014232635498,8.106231689453125e-05,10.0,2.0,2.0,20.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 115,0.8851886169683116,0.0015411376953125,8.893013000488281e-05,10.0,2.0,2.0,20.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 116,0.7573210892454666,0.0015301704406738,8.344650268554688e-05,10.0,2.0,2.0,20.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 117,0.8645492354105565,0.0014445781707763,7.82012939453125e-05,10.0,2.0,2.0,20.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 118,0.8301307382235148,0.0014162063598632,8.344650268554688e-05,10.0,2.0,2.0,20.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 119,0.5162475101244246,0.0009558200836181,6.532669067382812e-05,10.0,2.0,2.0,20.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 120,0.9212575157124114,0.0024867057800292,0.0001337528228759,10.0,2.0,2.0,50.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 121,0.9006619886891456,0.0027563571929931,0.0001156330108642,10.0,2.0,2.0,50.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 122,0.8365396791235097,0.0022370815277099,8.726119995117188e-05,10.0,2.0,2.0,50.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 123,0.8873718336268487,0.0021984577178955,9.083747863769533e-05,10.0,2.0,2.0,50.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 124,0.9056907565164511,0.0017061233520507,7.963180541992188e-05,10.0,2.0,2.0,50.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 125,0.8161433687044746,0.0014872550964355,7.915496826171875e-05,10.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 126,0.8355377785986791,0.001596450805664,0.0001049041748046,10.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 127,0.8189131489169165,0.0016233921051025,0.0001156330108642,10.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 128,0.8112680386549269,0.0015528202056884,9.894371032714844e-05,10.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 129,0.606505819930631,0.0010538101196289,7.414817810058594e-05,10.0,2.0,2.0,50.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 130,0.8547791594974641,0.0015528202056884,9.512901306152344e-05,10.0,2.0,2.0,50.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 131,0.8390207768259517,0.0014679431915283,9.34600830078125e-05,10.0,2.0,2.0,50.0,100.0,0.7,1.0,0.001
