id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees alpha=0.01,Lasso R2 alpha=0.1,Lasso n_trees alpha=0.1,Lasso R2 alpha=1,Lasso n_trees alpha=1,Lasso R2 alpha=10,Lasso n_trees alpha=10
183,Communities and Crime,1993,100,4,0.6559327554294749,0.6530698391956609,58,0.5450075811225665,24,-0.0007611576848338686,0,-0.0007611576848338686,0
183,Communities and Crime,1993,100,5,0.7065193934613381,0.7003726687487541,58,0.5422576095683866,29,-0.0006019209432102102,0,-0.0006019209432102102,0
186,Wine Quality,6497,11,1,0.4880706691153046,0.48166342973850174,57,0.4929105316124185,39,-0.0005063320339124822,0,-0.0005063320339124822,0
186,Wine Quality,6497,11,2,0.5081165900435516,0.5095391331029405,53,0.5043067132599596,35,-0.00043293514360809304,0,-0.00043293514360809304,0
186,Wine Quality,6497,11,3,0.49880945998764237,0.492426751364176,48,0.49664089481222773,38,-0.001304884296224218,0,-0.001304884296224218,0
186,Wine Quality,6497,11,4,0.5197771363869017,0.518948756295181,49,0.5175632369158161,38,-0.0002693214739324379,0,-0.0002693214739324379,0
186,Wine Quality,6497,11,5,0.5251919527569532,0.526309988064269,55,0.5317565196639584,41,-0.00044327609787786493,0,-0.00044327609787786493,0
275,Bike Sharing,17379,12,1,0.940419333630554,0.9433000081304739,69,0.94391381049355,57,0.9438093466172115,46,0.9417909202820374,44
275,Bike Sharing,17379,12,2,0.940105345494745,0.9424386219867987,74,0.9425150775782125,60,0.9419714125762315,52,0.9397117622262496,50
275,Bike Sharing,17379,12,3,0.9372444744833903,0.9387765154435678,64,0.9389607498424151,57,0.9390802442237802,52,0.937530492003178,50
275,Bike Sharing,17379,12,4,0.9430641690647169,0.9445516022180683,67,0.9452466411812684,55,0.9454517182792239,49,0.9427820541422395,43
275,Bike Sharing,17379,12,5,0.9404406300984276,0.9417554524877462,66,0.9421789014015669,55,0.9419066503723974,50,0.9400316915453419,45
291,Airfoil Self-Noise,1503,5,1,0.9023505975505961,0.9315433433135416,44,0.9267487224608124,29,0.9043849926332326,23,-0.0008373237337977457,0
291,Airfoil Self-Noise,1503,5,2,0.9230078160238148,0.9436356905112908,38,0.9402934876326986,19,0.9300037919205921,15,-0.0011131103585797497,0
291,Airfoil Self-Noise,1503,5,3,0.909177377219236,0.9313474687184372,38,0.9342070558399087,18,0.9186720298715845,14,-0.006588867068622939,0
291,Airfoil Self-Noise,1503,5,4,0.8975994964436375,0.9239490571727658,42,0.9176855027790962,25,0.8922863227043737,18,-0.0032308134318783654,0
291,Airfoil Self-Noise,1503,5,5,0.8867827873265348,0.9137098482096486,41,0.9077203259418878,24,0.8810338951841565,18,-0.0005946538582850547,0
294,Combined Cycle Power Plant,9568,4,1,0.9707256835067495,0.971118066010638,50,0.9710239319244617,42,0.9684606288731659,43,0.6320427005515739,19
294,Combined Cycle Power Plant,9568,4,2,0.9690623821449302,0.9695817928126552,53,0.9693005795670876,51,0.9661174661269281,50,0.6264752823157687,20
294,Combined Cycle Power Plant,9568,4,3,0.9646090927704913,0.9642575472545605,52,0.9643198849977898,48,0.962140405516981,47,0.6316744632586119,23
294,Combined Cycle Power Plant,9568,4,4,0.9702437323531738,0.9700036908022153,46,0.9699980942798784,42,0.9668566584913599,39,0.6271915042776033,22
294,Combined Cycle Power Plant,9568,4,5,0.9688019220839689,0.9689097840414305,53,0.9688859944178206,48,0.9660942466819862,45,0.6309459118169509,20
332,Online News Popularity,39644,58,1,0.15994103591043585,0.06888287474669641,60,0.11986285022809784,43,-0.00011183802458436531,0,-0.00011183802458436531,0
332,Online News Popularity,39644,58,2,0.14065833780511205,0.07308957488630086,68,0.11521207980573389,47,-1.0057538799790322e-05,0,-1.0057538799790322e-05,0
332,Online News Popularity,39644,58,3,0.12818483403779046,0.09181214242405034,60,0.14077397757887034,43,-9.929526002538935e-06,0,-9.929526002538935e-06,0
332,Online News Popularity,39644,58,4,0.14514718078195843,0.05495773049920216,61,0.09880343579885265,42,-5.656410637699949e-05,0,-5.656410637699949e-05,0
332,Online News Popularity,39644,58,5,0.14417752041641307,0.06810338717577746,54,0.11388680848655763,42,-1.070010641246455e-05,0,-1.070010641246455e-05,0
368,Facebook Metrics,495,18,1,0.9959963858319695,0.9925104400887699,38,0.991460624405989,17,0.9915916526576077,18,0.9902262226647265,14
368,Facebook Metrics,495,18,2,0.9998197477196547,0.9974565395125513,30,0.9954610414798775,13,0.9957180532810205,11,0.9979125919818443,10
368,Facebook Metrics,495,18,3,0.9979721449249547,0.997427078816216,27,0.9989061100501181,19,0.9988365831687348,17,0.997324537853584,13
368,Facebook Metrics,495,18,4,0.5805533573918001,0.6099890999143484,25,0.6153574058065322,19,0.6141921687368445,19,0.600637203246946,17
368,Facebook Metrics,495,18,5,0.9967512892112486,0.9975086566915288,27,0.9989830816752447,14,0.9990113509871075,13,0.9982401909799987,11
374,Appliances Energy Prediction,19735,27,1,0.5248034822535051,0.532420224736828,75,0.5333989619083694,72,0.5366337223070268,60,0.5376521370173422,50
374,Appliances Energy Prediction,19735,27,2,0.483200230733716,0.5356777406270021,74,0.5355151092868845,71,0.5316350307952129,53,0.5232530464814489,45
374,Appliances Energy Prediction,19735,27,3,0.5264753300875076,0.5598569835560485,66,0.5607221737636493,62,0.5633751756620435,49,0.563115288232773,42
374,Appliances Energy Prediction,19735,27,4,0.5199566539065448,0.5428509886673822,71,0.5445536299606755,70,0.5507805988659564,62,0.5424635623185485,45
374,Appliances Energy Prediction,19735,27,5,0.5116253690530084,0.5136810432745771,76,0.5149995344550548,74,0.517706366943073,60,0.5205434654430681,48
381,Beijing PM2.5,41757,11,1,0.8251052100612286,0.8320016744637198,72,0.8320281856506211,65,0.8307665373872837,56,0.8173611619713058,46
381,Beijing PM2.5,41757,11,2,0.8398890194670277,0.8400975421126728,71,0.8413077360801229,67,0.8411389094309542,59,0.8326238587567166,51
381,Beijing PM2.5,41757,11,3,0.8268733943639841,0.831598004413505,66,0.8323574466558983,57,0.8324019683670825,45,0.8221916959744653,42
381,Beijing PM2.5,41757,11,4,0.8546173037118241,0.8578823976592107,65,0.8593015338341013,58,0.8589758751573587,50,0.8503171153934117,45
381,Beijing PM2.5,41757,11,5,0.8553474566570674,0.8577269495931055,75,0.8584951117536014,67,0.8584997859251471,59,0.8472871074547891,55
409,Daily Demand Forecasting Orders,60,12,1,0.745029565638224,0.730565659609935,27,0.7358996401802393,16,0.7352212848804651,13,0.7237299501710899,6
409,Daily Demand Forecasting Orders,60,12,2,0.9754345835437936,0.9795894016677151,24,0.9860762563565352,20,0.9894433373207453,20,0.9818174783294735,12
409,Daily Demand Forecasting Orders,60,12,3,0.9709306187811404,0.9509963370737409,35,0.9743359168341303,16,0.9721292268174802,16,0.9421512343273126,10
409,Daily Demand Forecasting Orders,60,12,4,0.972056782862857,0.9692654235925117,33,0.9690985689470102,18,0.966182405819486,17,0.9285204273004309,8
409,Daily Demand Forecasting Orders,60,12,5,0.9822908765632954,0.959092688390765,26,0.9656372407560707,16,0.9591668751421925,16,0.9106388052538861,8
477,Real Estate Valuation,414,6,1,0.7956663731454986,0.7472349732530597,46,0.7499820846039877,29,0.7550177310534741,20,0.3073695173927786,6
477,Real Estate Valuation,414,6,2,0.5803273465129393,0.5425633746893652,53,0.5289592552869775,25,0.5476783528955683,18,0.29783747654321435,4
477,Real Estate Valuation,414,6,3,0.744044023618459,0.6945805349995164,56,0.7054016689501459,31,0.7196883399362655,23,0.34244372783756294,4
477,Real Estate Valuation,414,6,4,0.7287279114741783,0.7028535468740835,50,0.7219997753780767,25,0.7200620338472454,21,0.2717137915426615,2
477,Real Estate Valuation,414,6,5,0.623111648038571,0.6178469382036407,47,0.6170687415011319,29,0.616690931922598,21,0.18528612910647457,5
492,Metro Interstate Traffic Volume,48204,7,1,0.0940592076926311,0.08813787482883773,62,0.0882723597053674,62,0.08954793241242731,59,0.09747898940750088,41
492,Metro Interstate Traffic Volume,48204,7,2,0.09074938571991564,0.09295637040987315,54,0.09306594782008581,54,0.09406427650335192,51,0.09956227378671145,32
492,Metro Interstate Traffic Volume,48204,7,3,0.08097899336526249,0.07646952760824854,59,0.07660698960832601,59,0.07791386064066164,57,0.08430474240303198,38
492,Metro Interstate Traffic Volume,48204,7,4,0.09216215958598595,0.09137176092442523,63,0.09149371382046934,63,0.09260081948418886,63,0.09856829336041695,43
492,Metro Interstate Traffic Volume,48204,7,5,0.09303714338305957,0.08522655046843486,66,0.08536779758663993,64,0.08664967521287203,64,0.09421810628191829,42
597,Productivity Prediction of Garment Employees,691,13,1,0.8240547639626887,0.8231128340712027,22,0.45627964436293944,6,-0.005479728811049744,0,-0.005479728811049744,0
597,Productivity Prediction of Garment Employees,691,13,2,0.8547652645181854,0.8445022117698656,30,0.40532153454313036,9,-0.01599124318491829,0,-0.01599124318491829,0
597,Productivity Prediction of Garment Employees,691,13,3,0.8087029167305038,0.8215779239548106,26,0.4789644385104077,6,-0.008046346516298986,0,-0.008046346516298986,0
597,Productivity Prediction of Garment Employees,691,13,4,0.8531456764359362,0.8505721809829342,25,0.4694085348229238,7,-0.01470621507876535,0,-0.01470621507876535,0
597,Productivity Prediction of Garment Employees,691,13,5,0.8090718802095698,0.7841382373267718,25,0.4358247687823362,7,-0.002584692246435427,0,-0.002584692246435427,0
