id,name,n_samples,n_features,fold,model,r2_forest,tree_match_score,best_tree_r2
186,Wine Quality,6497,11,4,CPF,0.5190264303646033,0.48502251980697064,0.24319432261804963
186,Wine Quality,6497,11,4,RF,0.5239696120058162,-0.008270229337568713,0.1253259659037428
186,Wine Quality,6497,11,5,CPF,0.5232787171774806,0.3562483705822548,0.20333803210813828
186,Wine Quality,6497,11,5,RF,0.5240341634056389,0.0011666545653222782,-0.002734109934998674
275,Bike Sharing,17379,12,1,CPF,0.9399043744695995,0.933740080493046,0.8820529564870481
275,Bike Sharing,17379,12,1,RF,0.909630159096251,0.9119744320768933,0.8339866899472099
275,Bike Sharing,17379,12,2,CPF,0.9394058208964252,0.9406281273837517,0.8848598843952802
275,Bike Sharing,17379,12,2,RF,0.9072662008366897,0.914514690932663,0.8447472807918155
275,Bike Sharing,17379,12,3,CPF,0.9362654493039304,0.9343836029436081,0.8791657324673995
275,Bike Sharing,17379,12,3,RF,0.8948246372863204,0.899534073083891,0.819238202681289
275,Bike Sharing,17379,12,4,CPF,0.9425337288310346,0.9465057581779167,0.8969917522599571
275,Bike Sharing,17379,12,4,RF,0.9124525457159091,0.9164838388508251,0.8507187501433017
275,Bike Sharing,17379,12,5,CPF,0.9394793076162814,0.9431546999875268,0.8873481331080111
275,Bike Sharing,17379,12,5,RF,0.9055123306989451,0.9126042571134714,0.8239347169424553
291,Airfoil Self-Noise,1503,5,1,CPF,0.9025583848702917,0.9130545880381146,0.826043261467978
291,Airfoil Self-Noise,1503,5,1,RF,0.9291789068290139,0.8915472553698098,0.8309674489069845
291,Airfoil Self-Noise,1503,5,2,CPF,0.919565308978737,0.8895325700271908,0.8207079672401433
291,Airfoil Self-Noise,1503,5,2,RF,0.9413310632807341,0.8699704348413161,0.8127032333501277
291,Airfoil Self-Noise,1503,5,3,CPF,0.9163811805796209,0.9248123455909256,0.8924558195039121
291,Airfoil Self-Noise,1503,5,3,RF,0.9361820952383972,0.8885499574178316,0.8343347486493058
291,Airfoil Self-Noise,1503,5,4,CPF,0.8961638814189086,0.92008967784532,0.8545866375453873
291,Airfoil Self-Noise,1503,5,4,RF,0.9257234186650533,0.899977382953618,0.8338121445247053
291,Airfoil Self-Noise,1503,5,5,CPF,0.8860388869571505,0.9189047411263742,0.8101695164710214
291,Airfoil Self-Noise,1503,5,5,RF,0.9019666012304716,0.8504308993516766,0.7687968882922058
294,Combined Cycle Power Plant,9568,4,1,CPF,0.9707903644622506,0.9737101972174382,0.9436869129196784
294,Combined Cycle Power Plant,9568,4,1,RF,0.9638250306745868,0.9630329616582474,0.9288516130517882
294,Combined Cycle Power Plant,9568,4,2,CPF,0.9690938705894097,0.9726182140915326,0.9445662421561296
294,Combined Cycle Power Plant,9568,4,2,RF,0.9628753770116365,0.9624537811755408,0.9307266963373368
294,Combined Cycle Power Plant,9568,4,3,CPF,0.9645860243741818,0.9750954089523016,0.9385029416020726
294,Combined Cycle Power Plant,9568,4,3,RF,0.9568269792215698,0.9622005631128872,0.921940108199383
294,Combined Cycle Power Plant,9568,4,4,CPF,0.9704519684375182,0.9740926918154499,0.9455159595809491
294,Combined Cycle Power Plant,9568,4,4,RF,0.9629045966879844,0.9645380185640848,0.9305024336551464
294,Combined Cycle Power Plant,9568,4,5,CPF,0.9692169953263999,0.9727590021785887,0.9421451878325366
294,Combined Cycle Power Plant,9568,4,5,RF,0.9622098216286953,0.9624883804756096,0.9260824149989132
332,Online News Popularity,39644,58,1,CPF,0.1510085511802941,-0.906105413764517,-0.14282824255495163
332,Online News Popularity,39644,58,1,RF,0.16326851555681887,-3.0794649115832504,-0.535900329161145
332,Online News Popularity,39644,58,2,CPF,0.13858405558465692,-0.5857961738163835,-0.09615825092339736
332,Online News Popularity,39644,58,2,RF,0.14466832730348955,-3.1829167663859215,-0.5608998673887491
332,Online News Popularity,39644,58,3,CPF,0.17695797039195948,-1.1524779137207886,-0.17644576450940064
332,Online News Popularity,39644,58,3,RF,0.16772577626890728,-3.120341790908002,-0.569081649274261
332,Online News Popularity,39644,58,4,CPF,0.15352077501360928,-1.053832569792796,-0.16762082162505143
332,Online News Popularity,39644,58,4,RF,0.14284714041135904,-3.0130628560205226,-0.5445432893956774
332,Online News Popularity,39644,58,5,CPF,0.1465465466633955,-0.9003598623960376,-0.15159524120108236
332,Online News Popularity,39644,58,5,RF,0.14381234026750267,-3.0293063005741168,-0.5618937741179895
368,Facebook Metrics,495,18,1,CPF,0.9953617044828962,0.9991267995146063,0.9920547509773117
368,Facebook Metrics,495,18,1,RF,0.9225336118697043,0.9626321523081556,0.9803389504779263
368,Facebook Metrics,495,18,2,CPF,0.9998227142731918,0.9986259731884353,0.9981513697694656
368,Facebook Metrics,495,18,2,RF,0.9736073907918771,0.9910423007618462,0.9816128563716173
368,Facebook Metrics,495,18,3,CPF,0.9977949879219306,0.9994173178200777,0.9980188342054087
368,Facebook Metrics,495,18,3,RF,0.9530464873900166,0.9591230038749031,0.9791895014931412
368,Facebook Metrics,495,18,4,CPF,0.5961068923433929,0.9994795173735035,0.6026658865868018
368,Facebook Metrics,495,18,4,RF,0.5393097457147786,0.996518356102614,0.5304736330492241
368,Facebook Metrics,495,18,5,CPF,0.9967664356357192,0.9996838808960747,0.9970791697186334
368,Facebook Metrics,495,18,5,RF,0.9888511862694301,0.992121457483804,0.977963425583539
374,Appliances Energy Prediction,19735,27,1,CPF,0.5262298077518454,-0.019405446485023736,0.06968259567049861
374,Appliances Energy Prediction,19735,27,1,RF,0.5250608458761263,0.07968084625927141,0.06461218801007984
374,Appliances Energy Prediction,19735,27,2,CPF,0.4866569388629972,0.19088395444705875,0.12383752565742112
374,Appliances Energy Prediction,19735,27,2,RF,0.506218274109127,0.011851557819437697,0.18025759968799948
374,Appliances Energy Prediction,19735,27,3,CPF,0.5181311879449122,0.25184980437635274,0.1147868875751007
374,Appliances Energy Prediction,19735,27,3,RF,0.5380200651625573,0.06124603912629645,-0.0011230780961988263
374,Appliances Energy Prediction,19735,27,4,CPF,0.5131675726499287,0.02075577618517266,0.09731032765097958
374,Appliances Energy Prediction,19735,27,4,RF,0.5349338112322248,-0.06555721821892435,0.05858849475778716
374,Appliances Energy Prediction,19735,27,5,CPF,0.5049834487530931,0.15520972460996996,0.13220521036457578
374,Appliances Energy Prediction,19735,27,5,RF,0.5065314393018692,0.04688300644003174,0.0555134670525006
381,Beijing PM2.5,41757,11,1,CPF,0.8257068630392383,0.7807661763609117,0.6848268896052041
381,Beijing PM2.5,41757,11,1,RF,0.8392841420117385,0.7222024890479871,0.6510772225645085
381,Beijing PM2.5,41757,11,2,CPF,0.84036827479447,0.7687257639471067,0.6312214900476539
381,Beijing PM2.5,41757,11,2,RF,0.8453777792235198,0.683262534841332,0.6140750448039471
381,Beijing PM2.5,41757,11,3,CPF,0.8255679265839702,0.7742460649897391,0.6451687720021195
381,Beijing PM2.5,41757,11,3,RF,0.8266102282070926,0.695711996440624,0.6099167319429319
381,Beijing PM2.5,41757,11,4,CPF,0.8540620973415495,0.7837639859152896,0.6828393042154526
381,Beijing PM2.5,41757,11,4,RF,0.8565234422295142,0.7190073512332753,0.6701785381994714
381,Beijing PM2.5,41757,11,5,CPF,0.8543893057042591,0.7792447688825083,0.6982529367805945
381,Beijing PM2.5,41757,11,5,RF,0.8550963435731811,0.706323634925857,0.6680764863527241
409,Daily Demand Forecasting Orders,60,12,1,CPF,0.7404768570632065,0.9853061954041571,0.7137453579539171
409,Daily Demand Forecasting Orders,60,12,1,RF,0.6741263876600854,0.8344811328735788,0.6217063403922551
409,Daily Demand Forecasting Orders,60,12,2,CPF,0.9662121999911477,0.9901795861981737,0.9520615693694904
409,Daily Demand Forecasting Orders,60,12,2,RF,0.8857945081309346,0.9631061182907447,0.8262452856691644
409,Daily Demand Forecasting Orders,60,12,3,CPF,0.9717685163662967,0.9926425503039257,0.9846387883229817
409,Daily Demand Forecasting Orders,60,12,3,RF,0.8855434641936614,0.9635019372823488,0.8963742200646997
409,Daily Demand Forecasting Orders,60,12,4,CPF,0.9677900273582124,0.9976831402549353,0.9644059229221988
409,Daily Demand Forecasting Orders,60,12,4,RF,0.7941469878055574,0.9456915488422785,0.7512097507013534
409,Daily Demand Forecasting Orders,60,12,5,CPF,0.9772171152281701,0.9817522275670922,0.9534447197585783
409,Daily Demand Forecasting Orders,60,12,5,RF,0.976198083260118,0.8668995666828578,0.9281978859381053
477,Real Estate Valuation,414,6,1,CPF,0.7974514472457139,0.8851773060521101,0.7084770020874513
